ano,id_municipio,id_municipio_nome,atu_ef,atu_em,had_ef,had_em,tdi_ef,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_em
2010,2611606,Recife,32.4,35.8,4.4,4.2,44.0,58.9,72.8,69.7,18.5,12.2,8.7,18.1
2010,2611606,Recife,27.9,35.9,4.5,4.3,33.3,59.6,81.0,69.8,13.5,13.4,5.5,16.8
2010,2611606,Recife,27.9,35.9,4.5,4.3,33.3,59.6,81.0,69.8,13.5,13.4,5.5,16.8
2010,2611606,Recife,24.3,35.8,4.5,4.5,24.6,48.6,85.8,74.9,10.3,11.8,3.9,13.3
2010,2611606,Recife,19.1,35.4,4.4,5.4,6.5,9.4,95.8,93.0,3.8,6.0,0.4,1.0
2010,2611606,Recife,32.4,35.8,4.4,4.2,44.0,58.9,72.8,69.7,18.4,12.2,8.8,18.1
2010,2611606,Recife,24.3,35.8,4.5,4.5,24.6,48.6,85.8,74.9,10.3,11.8,3.9,13.3
2010,2611606,Recife,19.1,35.4,4.4,5.4,6.5,9.4,95.8,93.0,3.8,6.0,0.4,1.0
2010,2611606,Recife,10.3,,4.5,,29.3,,83.3,,11.1,,5.6,
2010,2611606,Recife,10.3,,4.5,,29.3,,83.3,,11.1,,5.6,
2010,2611606,Recife,24.5,,4.5,,22.9,,88.7,,8.8,,2.5,
2010,2611606,Recife,24.5,,4.5,,22.9,,88.7,,8.8,,2.5,
2010,2611606,Recife,31.1,38.3,5.2,5.5,8.5,68.7,97.6,71.1,2.4,28.8,0.0,0.1
2010,2611606,Recife,31.1,38.3,5.2,5.5,8.5,68.7,97.6,71.1,2.4,28.8,0.0,0.1
2023,2611606,Recife,2.5,1.9,24.4,12.9,16.1,,76.9,4.8,4.8,20.0,35.2,30.4
2023,2611606,Recife,3.2,1.5,32.2,18.0,21.5,12.6,99.4,5.4,5.9,18.9,45.2,41.4
2023,2611606,Recife,2.5,1.9,24.4,12.9,16.1,,76.9,4.8,4.8,20.0,35.2,30.4
2023,2611606,Recife,,0.8,,,,12.6,98.8,5.6,5.5,33.3,34.9,34.9
2023,2611606,Recife,,0.8,,,,12.6,98.8,5.6,5.5,33.3,34.9,34.9
2015,2611606,Recife,33.8,36.0,4.5,6.3,34.0,35.7,85.1,86.5,13.5,11.6,1.4,1.9
2015,2611606,Recife,22.1,34.9,4.5,6.0,21.2,28.6,89.6,88.6,9.7,9.8,0.7,1.6
2015,2611606,Recife,19.0,32.7,4.4,5.5,8.0,7.9,96.6,95.0,3.2,4.4,0.2,0.6
2015,2611606,Recife,20.6,,4.7,,27.1,,84.6,,14.5,,0.9,
2015,2611606,Recife,20.6,,4.7,,27.1,,84.6,,14.5,,0.9,
2015,2611606,Recife,28.3,30.5,5.2,5.1,7.8,33.5,96.0,83.4,4.0,16.6,0.0,0.0
2015,2611606,Recife,28.3,30.5,5.2,5.1,7.8,33.5,96.0,83.4,4.0,16.6,0.0,0.0
2024,2611606,Recife,0.0,1.7,53.3,23.0,30.5,,100.0,5.5,5.9,33.5,46.5,46.8
2024,2611606,Recife,,0.8,,,,12.0,100.0,5.3,5.3,33.3,38.5,38.5
2024,2611606,Recife,2.5,1.5,32.2,14.6,18.7,12.0,86.9,5.5,5.7,19.5,40.8,38.9
2024,2611606,Recife,2.5,1.5,32.2,14.6,18.7,12.0,86.9,5.5,5.7,19.5,40.8,38.9
2024,2611606,Recife,2.9,0.7,18.5,17.7,21.6,,97.6,6.4,7.0,12.0,45.3,41.9
2024,2611606,Recife,2.9,0.7,18.5,17.7,21.6,,97.6,6.4,7.0,12.0,45.3,41.9
2014,2611606,Recife,25.8,36.7,4.6,6.0,29.9,40.4,82.6,82.9,14.0,13.1,3.4,4.0
2014,2611606,Recife,22.3,35.7,4.5,5.9,21.0,32.3,88.1,86.0,9.7,10.8,2.2,3.2
2014,2611606,Recife,18.5,33.2,4.4,5.5,7.8,8.5,96.2,94.5,3.4,4.6,0.4,0.9
2014,2611606,Recife,22.3,35.7,4.5,5.9,21.0,32.3,88.1,86.0,9.7,10.8,2.2,3.2
2014,2611606,Recife,29.4,29.9,5.2,5.1,7.5,34.9,96.1,78.9,3.9,19.2,0.0,1.9
2014,2611606,Recife,21.4,,4.7,,24.2,,81.7,,14.2,,4.1,
2021,2611606,Recife,29.3,19.5,4.7,4.8,9.5,29.7,98.3,82.0,1.7,11.8,0.0,6.2
2021,2611606,Recife,34.9,37.0,4.6,7.6,25.1,22.1,96.9,95.4,2.5,3.9,0.6,0.7
2021,2611606,Recife,22.2,,4.7,,17.8,,99.5,,0.5,,0.0,
2021,2611606,Recife,25.7,35.5,4.7,7.4,20.4,22.5,98.6,94.7,1.2,4.3,0.2,1.0
2021,2611606,Recife,25.7,35.5,4.7,7.4,20.4,22.5,98.6,94.7,1.2,4.3,0.2,1.0
2017,2611606,Recife,34.8,37.5,4.5,6.7,31.1,28.7,92.8,92.7,6.5,6.5,0.7,0.8
2017,2611606,Recife,25.5,34.4,4.6,6.6,28.5,28.5,89.7,91.5,9.7,7.4,0.6,1.1
2017,2611606,Recife,22.1,33.7,4.5,6.3,20.0,23.5,92.9,92.5,6.6,6.5,0.5,1.0
2017,2611606,Recife,25.5,34.4,4.6,6.6,28.5,28.5,89.7,91.5,9.7,7.4,0.6,1.1
2017,2611606,Recife,29.0,12.4,5.3,4.9,7.9,22.8,98.1,66.5,1.7,25.7,0.2,7.8
2017,2611606,Recife,29.0,12.4,5.3,4.9,7.9,22.8,98.1,66.5,1.7,25.7,0.2,7.8
2017,2611606,Recife,21.5,,4.7,,27.0,,87.5,,11.8,,0.7,
2011,2611606,Recife,33.3,37.6,4.4,5.2,42.4,53.1,73.1,69.2,18.3,14.7,8.6,16.1
